julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2447708.500000000, A.D. 1989-Jul-01,0,0,0,0,0,0,0,0,0
2447892.500000000, A.D. 1990-Jan-01,0,0,0,0,0,0,0,0,0
2448073.500000000, A.D. 1990-Jul-01,0,0,0,0,0,0,0,0,0
2448257.500000000, A.D. 1991-Jan-01,0,0,0,0,0,0,0,0,0
2448438.500000000, A.D. 1991-Jul-01,0,0,0,0,0,0,0,0,0
2448622.500000000, A.D. 1992-Jan-01,0,0,0,0,0,0,0,0,0
2448804.500000000, A.D. 1992-Jul-01,0,0,0,0,0,0,0,0,0
2448988.500000000, A.D. 1993-Jan-01,0,0,0,0,0,0,0,0,0
2449169.500000000, A.D. 1993-Jul-01,0,0,0,0,0,0,0,0,0
2449353.500000000, A.D. 1994-Jan-01,0,0,0,0,0,0,0,0,0
2449534.500000000, A.D. 1994-Jul-01,0,0,0,0,0,0,0,0,0
2449718.500000000, A.D. 1995-Jan-01,0,0,0,0,0,0,0,0,0
2449899.500000000, A.D. 1995-Jul-01,0,0,0,0,0,0,0,0,0
2450083.500000000, A.D. 1996-Jan-01,0,0,0,0,0,0,0,0,0
2450265.500000000, A.D. 1996-Jul-01,0,0,0,0,0,0,0,0,0
2450449.500000000, A.D. 1997-Jan-01,0,0,0,0,0,0,0,0,0
2450630.500000000, A.D. 1997-Jul-01,0,0,0,0,0,0,0,0,0
2450814.500000000, A.D. 1998-Jan-01,0,0,0,0,0,0,0,0,0
2450995.500000000, A.D. 1998-Jul-01,0,0,0,0,0,0,0,0,0
2451179.500000000, A.D. 1999-Jan-01,0,0,0,0,0,0,0,0,0
2451360.500000000, A.D. 1999-Jul-01,0,0,0,0,0,0,0,0,0
2451544.500000000, A.D. 2000-Jan-01,0,0,0,0,0,0,0,0,0
2451726.500000000, A.D. 2000-Jul-01,0,0,0,0,0,0,0,0,0
2451910.500000000, A.D. 2001-Jan-01,0,0,0,0,0,0,0,0,0
2452091.500000000, A.D. 2001-Jul-01,0,0,0,0,0,0,0,0,0
2452275.500000000, A.D. 2002-Jan-01,0,0,0,0,0,0,0,0,0
2452456.500000000, A.D. 2002-Jul-01,0,0,0,0,0,0,0,0,0
2452640.500000000, A.D. 2003-Jan-01,0,0,0,0,0,0,0,0,0
2452821.500000000, A.D. 2003-Jul-01,0,0,0,0,0,0,0,0,0
2453005.500000000, A.D. 2004-Jan-01,0,0,0,0,0,0,0,0,0
